OPC	NFOL	MOL	Astrocyte	Neuron	Microglia
Cdh24	Inpp4a	Abhd4	Ndrg2	Odz2	Klrd1
Ntn4	Rasgef1b	Hist2h3c2-ps	Timp3	Vip	Cxcr3
Unc5c	S100a6	Scd2	Aldoc	Tnfaip8l3	Tgfb1
Igsf21	Zdhhc12	Ccdc74a	A430105I19Rik	Angpt1	Tnfrsf13b
Lace1	Lrrc8b	Ube2d1	Nr2e1	Kcnh1	Fyb
Grik1	Ermn	Clmn	Fgf1	BC030500	Prg2
Fam114a1	S100a1	Otud7b	Gm2061	Peg3	Fes
Aspm	Trio	Zbtb7b	Hif3a	Aloxe3	Adap2
Ptpn5	S1pr5	Cyp27a1	Rarres1	Unc5a	Daglb
4922501L14Rik	Dock6	Crtac1	Ptar1	Cacna1a	Myadml2
Slitrk5	Rtkn	Ttyh2	Mfap3l	Pla2g4e	Bcl3
Sostdc1	Tprn	Aldh3b1	Gulp1	Rit2	Ly9
G0s2	Dscam	Abcb10	Prss35	Prdm8	Sult1a1
Ube2c	Cdc37l1	Metrn	Pdpn	Chd5	Sp110
Zcchc24	Gnptab	4930506M07Rik	Ppara	Gpr135	C130050O18Rik
Cmtm4	Thra	Hist3h2ba	Slc2a4	AI606473	P2ry12
E030003E18Rik	Dip2a	Secisbp2l	Gas1	Nanos1	Gsg1
Tceal6	Usp20	Kcnk13	Malat1	Satb2	1700017B05Rik
Itgb8	Txndc16	Tnfaip6	Clu	Rgag1	Rnase10
Gabrb2	Grik2	Mapk3	Rasgrp1	Trpc4	Cd79b
C1qtnf2	Zfp579	Tmem189	Rhcg	Gpr151	Rgs14
Zdhhc15	Tspan17	Depdc1b	Gpr156	Slc12a5	Cmklr1
Melk	Nkain2	Pcdh9	Sfrs18	Mllt11	Ucp2
Serpine2	Cldn14	Hmox2	Adcyap1r1	Napb	Ptk2b
